Continent;Region;Country;Country Code;CRIMINALITY;CRIMINAL MARKETS;Human trafficking;Human smuggling;Arms trafficking;Flora crimes;Fauna crimes;Non-renewable resource crimes;Heroin trade;Cocaine trade;Cannabis trade;Synthetic drug trade;CRIMINAL ACTORS;Mafia-style groups;Criminal networks;State-embedded actors;Foreign actors;RESILIENCE;Political leadership and governance;Government transparency and accountability;International cooperation;National policies and laws;Judicial system and detention;Law enforcement;Territorial integrity;Anti-money laundering;Economic regulatory capacity;Victim and witness support;Prevention;Non-state actors;;
Asia;Southern Asia;Afghanistan;AFG;7,08;6,90;8,5;8,0;8,5;6,0;4,0;8,0;9,5;1,0;7,0;8,5;7,25;7,5;8,5;9,0;4,0;2,67;3,0;2,5;3,0;3,0;2,0;3,0;3,0;3,0;3,5;2,0;2,0;2,0;;
Europe;Central & Eastern Europe;Albania;ALB;5,63;5,25;5,0;6,5;4,5;4,5;3,5;5,5;6,0;7,0;7,0;3,0;6,00;7,0;7,5;7,0;2,5;5,04;5,5;4,5;6,5;6,0;5,0;5,5;5,5;4,0;4,0;4,5;5,0;4,5;;
Africa;North Africa;Algeria;DZA;4,51;4,65;4,5;6,5;5,0;2,0;4,5;6,5;2,0;3,5;6,5;5,5;4,38;1,0;5,0;7,0;4,5;4,63;4,5;4,0;5,0;6,0;4,0;6,0;6,5;4,5;4,5;3,0;4,0;3,5;;
Europe;Western Europe;Andorra;AND;2,96;2,55;2,5;3,0;3,0;1,0;1,0;3,5;2,0;3,5;4,5;1,5;3,38;1,0;4,0;1,5;7,0;7,75;7,0;7,0;8,0;8,0;8,0;8,0;8,0;6,0;8,0;8,5;8,0;8,5;;
Africa;Central Africa;Angola;AGO;5,29;5,20;6,0;4,0;6,0;7,0;4,5;8,5;3,0;6,0;4,5;2,5;5,38;3,0;5,5;8,0;5,0;4,42;5,0;4,5;5,0;5,0;3,5;4,5;6,0;5,0;4,0;4,0;3,5;3,0;;
Americas;Caribbean;Antigua and Barbuda;ATG;3,34;3,05;4,0;2,0;3,0;1,0;3,5;1,5;3,0;6,0;5,0;1,5;3,63;3,0;3,0;3,0;5,5;4,33;4,5;5,0;5,0;5,0;3,0;4,0;4,0;2,5;5,0;4,0;4,5;5,5;;
Americas;South America;Argentina;ARG;4,38;3,75;4,0;3,0;3,0;3,0;3,5;3,0;2,0;6,5;6,5;3,0;5,00;4,0;6,0;5,0;5,0;6,33;7,0;5,0;6,0;7,0;6,0;6,5;6,0;7,0;6,0;6,0;5,5;8,0;;
Asia;Central Asia and the Caucasus;Armenia;ARM;3,26;3,40;3,5;2,0;2,5;4,0;4,5;3,5;4,0;2,0;4,0;4,0;3,13;3,0;3,0;3,5;3,0;5,71;6,0;6,0;6,5;6,0;4,5;6,0;5,5;6,0;5,5;5,5;5,0;6,0;;
Oceania;Australia and New Zealand;Australia;AUS;4,00;3,75;3,5;3,0;3,5;3,0;3,5;2,0;3,5;5,0;3,5;7,0;4,25;5,0;6,0;2,0;4,0;7,96;8,0;8,5;9,0;8,0;8,0;8,0;9,0;7,0;7,0;7,5;7,5;8,0;;
Europe;Western Europe;Austria;AUT;4,04;3,95;4,5;5,0;6,5;2,0;2,5;2,0;4,5;3,5;4,5;4,5;4,13;2,0;4,0;4,0;6,5;7,42;7,0;6,5;7,0;8,0;8,0;8,5;8,0;6,0;7,0;8,0;8,0;7,0;;
Asia;Central Asia and the Caucasus;Azerbaijan;AZE;5,08;4,15;4,5;3,0;3,0;3,5;3,5;6,0;6,0;3,0;5,0;4,0;6,00;5,5;5,5;7,5;5,5;4,08;3,5;3,5;5,5;4,0;2,5;4,0;5,0;4,5;4,0;4,0;5,0;3,5;;
Americas;Caribbean;Bahamas;BHS;3,79;3,95;4,5;5,0;4,5;1,0;4,5;2,0;4,0;7,0;4,0;3,0;3,63;3,5;2,0;3,0;6,0;5,21;6,0;6,0;6,0;6,0;3,5;6,0;5,0;4,5;4,0;6,5;5,0;4,0;;
Asia;Western Asia;Bahrain;BHR;4,83;5,65;7,5;5,5;5,5;4,0;6,0;6,5;5,0;4,0;6,0;6,5;4,00;1,0;6,0;4,0;5,0;5,54;6,0;5,0;7,0;5,5;5,0;5,0;6,5;5,5;6,0;5,5;5,5;4,0;;
Asia;Southern Asia;Bangladesh;BGD;4,98;4,95;8,0;6,0;5,0;4,0;5,0;3,5;4,5;3,0;4,0;6,5;5,00;5,5;5,5;7,0;2,0;4,13;3,5;4,0;5,5;5,0;3,0;4,0;5,0;4,5;3,5;3,5;4,0;4,0;;
Americas;Caribbean;Barbados;BRB;3,21;2,55;3,5;2,0;4,0;1,0;1,0;2,0;1,0;5,5;4,5;1,0;3,88;5,0;4,5;4,0;2,0;5,71;5,5;7,0;7,0;6,0;4,5;6,5;6,0;5,0;3,5;5,5;6,0;6,0;;
Europe;Central & Eastern Europe;Belarus;BLR;5,08;4,40;7,0;5,5;6,5;3,0;2,0;5,0;4,0;2,0;4,0;5,0;5,75;4,0;5,0;9,0;5,0;3,79;3,5;2,0;3,0;4,0;3,0;5,0;4,5;4,5;5,0;3,0;5,0;3,0;;
Europe;Western Europe;Belgium;BEL;4,34;5,05;5,0;5,5;5,5;2,5;3,5;3,0;4,0;7,5;6,5;7,5;3,63;3,0;4,5;2,0;5,0;7,00;7,0;7,0;8,0;7,0;6,0;7,0;6,0;7,0;7,0;7,5;6,5;8,0;;
